Runtime: 50.8922131
Patient Count: 10000,Provider Count: 1000,Room Count: 500,Specialty Count: 10
Patient Scheduling Rate: 0.499
Provider Scheduling Rates: 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Average Rate: 1.0

Patient ID,Provider ID,Room ID,Day Assigned,System Time Created, Simulation Time Created
0,11,0,1,93472717777100,12540970500
1,0,6,1,93472717786200,12540979200
2,8,4,1,93472717788300,12540981300
3,2,1,1,93472717789400,12540982300
4,11,0,2,93472717791200,12540984100
5,8,4,2,93472717792800,12540985800
6,11,0,3,93472717794400,12540987300
7,15,4,3,93472717796500,12540989500
8,4,1,2,93472717797700,12540990700
9,4,1,3,93472717799300,12540992200
10,6,1,4,93472717801500,12540994400
11,12,0,4,93472717803900,12540996800
12,13,0,5,93472717806800,12540999800
13,1,0,6,93472717810000,12541003000
14,13,0,7,93472717814300,12541007300
15,3,0,8,93472717819100,12541012100
16,6,1,5,93472717822700,12541015600
17,1,0,9,93472717830400,12541023400
18,16,0,10,93472717839000,12541031900
19,2,1,6,93472717843700,12541036700
20,8,4,4,93472717847500,12541040500
21,16,0,11,93472717856800,12541049700
22,0,6,2,93472717859200,12541052200
23,2,1,7,93472717865500,12541058400
24,16,0,12,93472717877400,12541070300
25,8,4,5,93472717882700,12541075600
26,8,4,6,93472717889000,12541081900
27,6,1,8,93472717897200,12541090100
28,15,4,7,93472717905500,12541098400
29,0,6,3,93472717909300,12541102300
30,8,4,8,93472717918600,12541111600
31,15,4,9,93472717929600,12541122500
32,6,1,9,93472717940300,12541133200
33,15,4,10,93472717953300,12541146200
34,1,0,13,93472717969100,12541162000
35,13,0,14,93472717987300,12541180300
36,12,0,15,93472718006800,12541199800
37,16,0,16,93472718028800,12541221700
38,23,0,17,93472718052500,12541245400
39,8,4,11,93472718068500,12541261400
40,0,6,4,93472718074700,12541267600
41,2,1,10,93472718089700,12541282600
42,23,0,18,93472718117200,12541310100
43,1,0,19,93472718150700,12541343800
44,8,4,12,93472718176200,12541369200
45,15,4,13,93472718200500,12541393400
46,6,1,11,93472718220900,12541413800
47,0,6,5,93472718230300,12541423300
48,15,4,14,93472718257200,12541450200
49,13,0,20,93472718296600,12541489600
50,19,1,12,93472718319700,12541512600
51,19,1,13,93472718345400,12541538300
52,9,4,15,93472718375300,12541568300
53,19,1,14,93472718404200,12541597100
54,16,0,21,93472718448500,12541641500
55,21,0,22,93472718495500,12541688500
56,16,0,23,93472718545900,12541738800
57,19,1,15,93472718578900,12541771800
58,3,0,24,93472718632500,12541825600
59,0,6,6,93472718646300,12541839200
60,15,4,16,93472718683700,12541876600
61,1,0,25,93472718742300,12541935300
62,3,0,26,93472718804000,12541996900
63,2,1,16,93472718842000,12542034900
64,16,0,27,93472718909200,12542102200
65,27,0,28,93472718979800,12542172700
66,17,0,29,93472719053500,12542246400
67,27,0,30,93472719131400,12542324300
68,9,4,17,93472719175700,12542368700
69,28,4,18,93472719222600,12542415600
70,17,0,31,93472719306200,12542499200
71,1,1,17,93472719437200,12542630100
72,2,1,18,93472719488300,12542681300
73,30,4,19,93472719548800,12542741700
74,19,1,19,93472719605200,12542798100
75,17,1,20,93472719752600,12542945600
76,23,2,1,93472719848200,12543041200
77,2,1,21,93472719910200,12543103200
78,0,6,7,93472719930300,12543123300
79,28,4,20,93472719990500,12543183500
80,27,6,8,93472720114200,12543307100
81,2,1,22,93472720184000,12543376900
82,40,1,23,93472720256500,12543449400
83,23,2,2,93472720364700,12543557600
84,25,2,3,93472720474400,12543667300
85,25,2,4,93472720589100,12543782100
86,22,1,24,93472720667200,12543860100
87,1,1,26,93472720859300,12544052300
88,33,2,5,93472720968400,12544161300
89,17,1,25,93472721002800,12544195700
90,32,4,21,93472721012800,12544205700
91,1,1,27,93472721038800,12544231700
92,37,4,22,93472721049000,12544241900
93,18,1,28,93472721075000,12544268000
94,0,6,9,93472721080200,12544273100
95,52,4,23,93472721091200,12544284100
96,18,1,29,93472721118200,12544311100
97,42,1,30,93472721145600,12544338500
98,52,4,24,93472721157500,12544350400
99,52,4,25,93472721169500,12544362500
100,39,4,26,93472721182100,12544375000
101,42,1,31,93472721210700,12544403600
102,5,4,27,93472721251300,12544444200
103,22,4,28,93472721279300,12544472200
104,40,5,1,93472721294900,12544487800
105,17,4,30,93472721339900,12544532900
106,39,4,29,93472721354600,12544547500
107,10,6,10,93472721360800,12544553700
108,10,6,11,93472721367500,12544560500
109,42,5,2,93472721415900,12544608800
110,17,5,3,93472721465000,12544657900
111,22,4,31,93472721496500,12544689400
112,17,5,4,93472721553900,12544746800
113,10,6,12,93472721562300,12544755300
114,39,6,13,93472721587500,12544780400
115,42,5,5,93472721640500,12544833400
116,10,6,14,93472721650200,12544843100
117,20,5,6,93472721702100,12544895000
118,22,5,7,93472721739100,12544932000
119,5,5,8,93472721793700,12544986600
120,20,5,9,93472721849000,12545041900
121,33,2,6,93472721870200,12545063100
122,35,6,15,93472721896700,12545089600
123,52,7,1,93472721915600,12545108600
124,39,6,16,93472721943600,12545136600
125,20,5,10,93472722001900,12545194800
126,7,5,11,93472722060000,12545252900
127,31,5,12,93472722101700,12545294600
128,52,7,2,93472722121600,12545314500
129,52,7,3,93472722143000,12545335900
130,40,5,13,93472722169000,12545362000
131,42,5,14,93472722232900,12545425800
132,31,5,15,93472722279000,12545471900
133,10,6,17,93472722290700,12545483700
134,33,2,7,93472722315100,12545508000
135,42,5,16,93472722382300,12545575200
136,20,5,17,93472722450400,12545643300
137,40,5,18,93472722492900,12545685800
138,39,6,18,93472722534900,12545727800
139,40,5,19,93472722567400,12545760300
140,36,5,20,93472722638800,12545831800
141,33,2,8,93472722673100,12545866100
142,33,2,9,93472722707700,12545900700
143,36,5,21,93472722792000,12545984900
144,7,5,22,93472722868500,12546061500
145,7,5,23,93472722945000,12546137900
146,36,5,24,93472723022200,12546215100
147,7,5,25,93472723101500,12546294400
148,40,5,26,93472723149100,12546342000
149,52,7,4,93472723183200,12546376100
150,7,5,27,93472723292700,12546485600
151,10,6,19,93472723311400,12546504300
152,35,6,20,93472723359000,12546552000
153,36,5,28,93472723465900,12546658800
154,10,6,21,93472723486600,12546679500
155,36,5,29,93472723595400,12546788300
156,53,7,5,93472723627900,12546820800
157,33,2,10,93472723667200,12546860200
158,40,5,30,93472723725600,12546918600
159,39,6,22,93472723767300,12546960200
160,46,2,11,93472723798100,12546991100
161,7,5,31,93472723890800,12547083700
162,36,7,6,93472723986700,12547179700
163,7,6,24,93472724100700,12547293600
164,46,2,12,93472724133500,12547326400
165,39,6,23,93472724195300,12547388300
166,60,6,25,93472724240500,12547433500
167,40,6,27,93472724312100,12547505000
168,36,7,7,93472724412500,12547605400
169,46,2,13,93472724447000,12547640000
170,36,7,8,93472724548800,12547741700
171,46,2,14,93472724584300,12547777200
172,44,10,1,93472724656600,12547849500
173,10,6,26,93472724680000,12547872900
174,35,6,28,93472724730900,12547923800
175,44,10,2,93472724807200,12548000100
176,42,6,29,93472724934700,12548127600
177,10,6,30,93472724962400,12548155300
178,60,6,31,93472725017200,12548210100
179,35,9,1,93472725073600,12548266500
180,46,2,15,93472725112300,12548305200
181,53,7,9,93472725147200,12548340100
182,36,7,10,93472725260000,12548453000
183,35,9,2,93472725319100,12548512000
184,53,7,11,93472725356100,12548549000
185,43,9,3,93472725413400,12548606400
186,38,7,12,93472725526000,12548719000
187,44,10,3,93472725607900,12548800900
188,50,7,13,93472725722300,12548915200
189,50,7,14,93472725838100,12549031100
190,7,13,1,93472725977500,12549170400
191,46,2,16,93472726018900,12549211900
192,24,8,1,93472726050300,12549243200
193,60,8,2,93472726111000,12549303900
194,44,10,4,93472726197200,12549390100
195,81,7,15,93472726294000,12549486900
196,24,8,3,93472726327200,12549520100
197,81,7,16,93472726426400,12549619300
198,48,2,17,93472726469800,12549662800
199,49,2,18,93472726513600,12549706500
200,7,13,2,93472726661200,12549854100
201,14,13,3,93472726803400,12549996300
202,42,7,17,93472726966900,12550159800
203,53,7,18,93472727013700,12550206700
204,43,9,4,93472727077300,12550270200
205,44,10,5,93472727170400,12550363300
206,50,7,19,93472727301900,12550494800
207,14,13,4,93472727450500,12550643400
208,14,13,5,93472727600600,12550793600
209,44,10,6,93472727700000,12550892900
210,51,7,20,93472727864000,12551056900
211,81,7,21,93472727976100,12551169100
212,43,9,5,93472728044800,12551237700
213,49,2,19,93472728093400,12551286400
214,14,13,6,93472728249500,12551442400
215,53,7,22,93472728302900,12551495800
216,53,7,23,93472728357400,12551550300
